run_id,treat_none,treat_all,random,score,causal
0,45849,33247,44580,44957,46716
1,45574,33124,44320,44666,46442
2,45791,33311,44489,44950,46662
3,45726,33226,44467,44841,46611
4,45464,33175,44232,44599,46361
5,45609,33208,44415,44775,46487
6,45683,33151,44461,44820,46569
7,45767,33158,44517,44915,46656
8,45705,33235,44455,44841,46551
9,45649,33082,44381,44791,46557
10,45834,33181,44572,44966,46692
11,45733,32938,44433,44888,46542
12,45639,33149,44366,44774,46495
13,45714,33238,44479,44892,46572
14,45593,33171,44359,44770,46461
15,45743,33294,44472,44896,46649
16,45596,32990,44304,44719,46467
17,45770,33242,44451,44895,46644
18,45639,33040,44364,44719,46490
19,45770,33260,44519,44882,46633
20,45699,33283,44514,44822,46585
21,45491,33005,44263,44635,46361
22,45916,33240,44608,45057,46756
23,45812,33212,44542,44941,46678
24,45816,33251,44574,44906,46708
25,45886,33455,44620,45058,46736
26,45778,33327,44540,44904,46636
27,45510,32875,44262,44644,46364
28,45677,33212,44391,44807,46565
29,45689,33272,44465,44854,46537
30,45501,33114,44356,44662,46361
31,45862,33254,44665,45015,46700
32,45805,33278,44538,44909,46644
33,45959,33459,44655,45095,46825
34,45722,33205,44478,44869,46606
35,45966,33441,44740,45069,46809
36,45688,33091,44442,44803,46580
37,45974,33362,44681,45118,46807
38,45752,33443,44461,44923,46652
39,45655,33315,44417,44764,46505
40,45729,33222,44540,44872,46585
41,46102,33391,44823,45216,46962
42,45706,33224,44458,44809,46581
43,45674,33255,44458,44830,46511
44,45807,33193,44532,44920,46663
45,45870,33291,44608,44983,46739
46,45693,33166,44442,44814,46543
47,45683,33112,44427,44836,46575
48,45734,33140,44520,44921,46608
49,45725,33166,44462,44854,46579
50,45660,33263,44393,44826,46524
51,45568,33092,44326,44707,46439
52,45395,33038,44140,44578,46269
53,45688,33208,44429,44803,46527
54,45898,33302,44557,45029,46771
55,45816,33317,44479,44925,46661
56,45653,32960,44406,44729,46488
57,45716,33199,44482,44893,46599
58,45748,33305,44463,44874,46613
59,45572,33049,44315,44734,46457
60,45542,33018,44244,44661,46347
61,45474,33154,44208,44671,46316
62,45543,33261,44319,44705,46430
63,45595,33180,44330,44729,46460
64,45824,33080,44531,44931,46679
65,45614,33095,44358,44704,46499
66,45809,33168,44543,44907,46653
67,45543,33243,44351,44721,46422
68,45752,33447,44512,44897,46632
69,45684,33155,44545,44828,46510
70,45462,32847,44133,44589,46275
71,45806,33308,44631,44956,46678
72,45845,33070,44601,44942,46694
73,45712,33257,44442,44903,46591
74,45646,33227,44348,44792,46473
75,45755,33206,44448,44906,46606
76,45672,33155,44431,44816,46583
77,45844,33330,44572,45005,46692
78,45611,33033,44418,44765,46465
79,45706,33266,44458,44860,46575
80,45638,33153,44408,44762,46518
81,45742,33256,44497,44907,46608
82,45852,33375,44582,44990,46698
83,45750,33190,44494,44907,46607
84,45744,33099,44426,44908,46580
85,45606,33292,44358,44809,46502
86,45962,33295,44670,45088,46882
87,45716,33241,44445,44860,46546
88,45609,33160,44425,44736,46464
89,45715,33243,44445,44839,46614
90,45791,33308,44554,44933,46664
91,45614,32906,44274,44708,46432
92,45992,33416,44712,45104,46877
93,45739,33156,44438,44862,46597
94,45829,33307,44612,44946,46702
95,45664,33340,44441,44804,46561
96,45676,33134,44384,44838,46521
97,45494,33172,44285,44628,46406
98,45696,33091,44439,44857,46531
99,45638,33317,44412,44770,46473
100,45813,33229,44525,44955,46684
101,45630,33210,44371,44777,46499
102,45605,33087,44338,44786,46442
