run_id,policy,outcome
0,treat_none,45849
0,score,44957
0,random,44580
0,causal,46716
0,treat_all,33247
1,treat_none,45574
1,random,44320
1,score,44666
1,causal,46442
1,treat_all,33124
2,random,44489
2,causal,46662
2,score,44950
2,treat_none,45791
2,treat_all,33311
3,treat_none,45726
3,random,44467
3,score,44841
3,treat_all,33226
3,causal,46611
4,causal,46361
4,random,44232
4,treat_none,45464
4,treat_all,33175
4,score,44599
5,score,44775
5,random,44415
5,treat_none,45609
5,treat_all,33208
5,causal,46487
6,causal,46569
6,treat_all,33151
6,score,44820
6,treat_none,45683
6,random,44461
7,random,44517
7,treat_all,33158
7,score,44915
7,treat_none,45767
7,causal,46656
8,treat_all,33235
8,treat_none,45705
8,causal,46551
8,random,44455
8,score,44841
9,causal,46557
9,treat_all,33082
9,score,44791
9,treat_none,45649
9,random,44381
10,treat_none,45834
10,random,44572
10,treat_all,33181
10,causal,46692
10,score,44966
11,score,44888
11,treat_none,45733
11,random,44433
11,causal,46542
11,treat_all,32938
12,treat_none,45639
12,random,44366
12,score,44774
12,causal,46495
12,treat_all,33149
13,random,44479
13,score,44892
13,causal,46572
13,treat_all,33238
13,treat_none,45714
14,random,44359
14,score,44770
14,treat_all,33171
14,causal,46461
14,treat_none,45593
15,causal,46649
15,score,44896
15,random,44472
15,treat_none,45743
15,treat_all,33294
16,score,44719
16,causal,46467
16,random,44304
16,treat_all,32990
16,treat_none,45596
17,causal,46644
17,treat_all,33242
17,random,44451
17,score,44895
17,treat_none,45770
18,score,44719
18,causal,46490
18,treat_all,33040
18,random,44364
18,treat_none,45639
19,treat_none,45770
19,causal,46633
19,random,44519
19,score,44882
19,treat_all,33260
20,treat_none,45699
20,causal,46585
20,random,44514
20,treat_all,33283
20,score,44822
21,treat_none,45491
21,random,44263
21,causal,46361
21,treat_all,33005
21,score,44635
22,score,45057
22,random,44608
22,treat_all,33240
22,treat_none,45916
22,causal,46756
23,causal,46678
23,treat_all,33212
23,random,44542
23,score,44941
23,treat_none,45812
24,causal,46708
24,treat_all,33251
24,score,44906
24,random,44574
24,treat_none,45816
25,score,45058
25,treat_none,45886
25,random,44620
25,causal,46736
25,treat_all,33455
26,treat_none,45778
26,score,44904
26,random,44540
26,causal,46636
26,treat_all,33327
27,treat_none,45510
27,score,44644
27,random,44262
27,causal,46364
27,treat_all,32875
28,random,44391
28,score,44807
28,treat_none,45677
28,causal,46565
28,treat_all,33212
29,treat_all,33272
29,random,44465
29,treat_none,45689
29,causal,46537
29,score,44854
30,treat_all,33114
30,causal,46361
30,random,44356
30,treat_none,45501
30,score,44662
31,score,45015
31,treat_none,45862
31,treat_all,33254
31,causal,46700
31,random,44665
32,treat_all,33278
32,causal,46644
32,score,44909
32,treat_none,45805
32,random,44538
33,treat_all,33459
33,score,45095
33,random,44655
33,causal,46825
33,treat_none,45959
34,treat_all,33205
34,random,44478
34,treat_none,45722
34,causal,46606
34,score,44869
35,treat_all,33441
35,score,45069
35,random,44740
35,causal,46809
35,treat_none,45966
36,treat_all,33091
36,score,44803
36,causal,46580
36,random,44442
36,treat_none,45688
37,treat_all,33362
37,random,44681
37,score,45118
37,treat_none,45974
37,causal,46807
38,causal,46652
38,treat_none,45752
38,treat_all,33443
38,score,44923
38,random,44461
39,score,44764
39,treat_all,33315
39,treat_none,45655
39,causal,46505
39,random,44417
40,treat_all,33222
40,treat_none,45729
40,random,44540
40,causal,46585
40,score,44872
41,treat_none,46102
41,treat_all,33391
41,causal,46962
41,score,45216
41,random,44823
42,treat_none,45706
42,score,44809
42,causal,46581
42,random,44458
42,treat_all,33224
43,treat_all,33255
43,random,44458
43,treat_none,45674
43,causal,46511
43,score,44830
44,random,44532
44,treat_none,45807
44,causal,46663
44,score,44920
44,treat_all,33193
45,causal,46739
45,treat_none,45870
45,score,44983
45,random,44608
45,treat_all,33291
46,treat_all,33166
46,score,44814
46,treat_none,45693
46,random,44442
46,causal,46543
47,score,44836
47,treat_none,45683
47,treat_all,33112
47,random,44427
47,causal,46575
48,random,44520
48,score,44921
48,treat_none,45734
48,treat_all,33140
48,causal,46608
49,treat_none,45725
49,treat_all,33166
49,score,44854
49,causal,46579
49,random,44462
50,random,44393
50,causal,46524
50,score,44826
50,treat_all,33263
50,treat_none,45660
51,causal,46439
51,treat_none,45568
51,random,44326
51,treat_all,33092
51,score,44707
52,treat_none,45395
52,score,44578
52,treat_all,33038
52,causal,46269
52,random,44140
53,treat_none,45688
53,random,44429
53,score,44803
53,causal,46527
53,treat_all,33208
54,random,44557
54,treat_all,33302
54,causal,46771
54,treat_none,45898
54,score,45029
55,random,44479
55,causal,46661
55,treat_none,45816
55,treat_all,33317
55,score,44925
56,treat_none,45653
56,random,44406
56,causal,46488
56,treat_all,32960
56,score,44729
57,random,44482
57,score,44893
57,causal,46599
57,treat_all,33199
57,treat_none,45716
58,causal,46613
58,score,44874
58,treat_all,33305
58,random,44463
58,treat_none,45748
59,treat_none,45572
59,score,44734
59,treat_all,33049
59,random,44315
59,causal,46457
60,treat_none,45542
60,score,44661
60,treat_all,33018
60,causal,46347
60,random,44244
61,score,44671
61,random,44208
61,causal,46316
61,treat_all,33154
61,treat_none,45474
62,score,44705
62,causal,46430
62,random,44319
62,treat_all,33261
62,treat_none,45543
63,score,44729
63,random,44330
63,treat_none,45595
63,treat_all,33180
63,causal,46460
64,treat_none,45824
64,score,44931
64,random,44531
64,causal,46679
64,treat_all,33080
65,random,44358
65,causal,46499
65,treat_none,45614
65,score,44704
65,treat_all,33095
66,treat_all,33168
66,causal,46653
66,random,44543
66,treat_none,45809
66,score,44907
67,treat_all,33243
67,treat_none,45543
67,causal,46422
67,random,44351
67,score,44721
68,score,44897
68,treat_none,45752
68,random,44512
68,treat_all,33447
68,causal,46632
69,treat_all,33155
69,causal,46510
69,score,44828
69,random,44545
69,treat_none,45684
70,score,44589
70,random,44133
70,causal,46275
70,treat_none,45462
70,treat_all,32847
71,score,44956
71,treat_none,45806
71,causal,46678
71,random,44631
71,treat_all,33308
72,score,44942
72,treat_none,45845
72,treat_all,33070
72,causal,46694
72,random,44601
73,score,44903
73,random,44442
73,treat_none,45712
73,causal,46591
73,treat_all,33257
74,random,44348
74,treat_all,33227
74,treat_none,45646
74,causal,46473
74,score,44792
75,score,44906
75,causal,46606
75,random,44448
75,treat_all,33206
75,treat_none,45755
76,treat_none,45672
76,treat_all,33155
76,score,44816
76,causal,46583
76,random,44431
77,treat_none,45844
77,random,44572
77,treat_all,33330
77,score,45005
77,causal,46692
78,random,44418
78,treat_all,33033
78,score,44765
78,treat_none,45611
78,causal,46465
79,treat_none,45706
79,random,44458
79,treat_all,33266
79,score,44860
79,causal,46575
80,score,44762
80,causal,46518
80,random,44408
80,treat_none,45638
80,treat_all,33153
81,random,44497
81,score,44907
81,treat_all,33256
81,causal,46608
81,treat_none,45742
82,treat_none,45852
82,score,44990
82,random,44582
82,causal,46698
82,treat_all,33375
83,treat_none,45750
83,score,44907
83,random,44494
83,treat_all,33190
83,causal,46607
84,score,44908
84,causal,46580
84,random,44426
84,treat_all,33099
84,treat_none,45744
85,score,44809
85,treat_none,45606
85,treat_all,33292
85,random,44358
85,causal,46502
86,treat_none,45962
86,treat_all,33295
86,random,44670
86,score,45088
86,causal,46882
87,causal,46546
87,treat_all,33241
87,treat_none,45716
87,score,44860
87,random,44445
88,causal,46464
88,score,44736
88,treat_all,33160
88,treat_none,45609
88,random,44425
89,score,44839
89,treat_none,45715
89,treat_all,33243
89,causal,46614
89,random,44445
90,random,44554
90,score,44933
90,causal,46664
90,treat_none,45791
90,treat_all,33308
91,score,44708
91,random,44274
91,causal,46432
91,treat_none,45614
91,treat_all,32906
92,causal,46877
92,treat_none,45992
92,treat_all,33416
92,score,45104
92,random,44712
93,treat_none,45739
93,treat_all,33156
93,score,44862
93,causal,46597
93,random,44438
94,treat_none,45829
94,score,44946
94,random,44612
94,causal,46702
94,treat_all,33307
95,random,44441
95,causal,46561
95,treat_none,45664
95,treat_all,33340
95,score,44804
96,treat_all,33134
96,random,44384
96,causal,46521
96,treat_none,45676
96,score,44838
97,treat_none,45494
97,treat_all,33172
97,score,44628
97,causal,46406
97,random,44285
98,score,44857
98,treat_none,45696
98,causal,46531
98,treat_all,33091
98,random,44439
99,treat_none,45638
99,causal,46473
99,random,44412
99,treat_all,33317
99,score,44770
100,score,44955
100,causal,46684
100,treat_none,45813
100,treat_all,33229
100,random,44525
101,causal,46499
101,treat_none,45630
101,random,44371
101,treat_all,33210
101,score,44777
102,random,44338
102,treat_all,33087
102,causal,46442
102,score,44786
102,treat_none,45605
103,causal,46418
103,random,44346
103,score,44702
103,treat_none,45524
103,treat_all,33097
104,treat_all,33202
104,random,44654
104,causal,46790
104,score,45049
104,treat_none,45888
105,causal,46324
105,random,44222
105,treat_all,33156
105,treat_none,45437
105,score,44605
106,treat_all,33237
106,treat_none,45795
106,causal,46718
106,score,44921
106,random,44531
107,treat_none,45907
107,random,44614
107,causal,46772
107,score,45031
107,treat_all,33319
108,treat_all,33261
108,causal,46432
108,score,44737
108,treat_none,45561
108,random,44311
109,causal,46438
109,treat_none,45552
109,treat_all,33247
109,score,44695
109,random,44341
110,causal,46349
110,random,44214
110,treat_all,33113
110,score,44625
110,treat_none,45462
111,treat_all,33197
111,score,44813
111,random,44433
111,treat_none,45666
111,causal,46492
112,treat_all,33207
112,causal,46399
112,treat_none,45482
112,random,44240
112,score,44647
113,score,44945
113,random,44523
113,treat_none,45814
113,causal,46687
113,treat_all,33364
114,random,44394
114,treat_none,45618
114,score,44753
114,causal,46483
114,treat_all,33198
115,treat_all,33330
115,score,44954
115,treat_none,45767
115,causal,46650
115,random,44540
116,score,44901
116,treat_none,45724
116,random,44538
116,causal,46648
116,treat_all,33275
117,score,44886
117,treat_all,33249
117,treat_none,45745
117,causal,46617
117,random,44454
118,score,44909
118,causal,46604
118,treat_none,45745
118,random,44533
118,treat_all,33348
119,treat_none,45656
119,causal,46481
119,random,44390
119,treat_all,33098
119,score,44766
120,random,44447
120,treat_none,45657
120,causal,46518
120,treat_all,33168
120,score,44836
121,treat_none,45933
121,causal,46763
121,treat_all,33440
121,random,44680
121,score,45061
122,random,44778
122,causal,46873
122,treat_none,46045
122,treat_all,33378
122,score,45181
123,causal,46584
123,treat_all,33152
123,score,44857
123,treat_none,45786
123,random,44571
124,random,44186
124,treat_all,32907
124,score,44591
124,treat_none,45451
124,causal,46322
125,random,44494
125,score,44920
125,treat_none,45754
125,treat_all,33347
125,causal,46596
126,treat_none,45696
126,treat_all,33060
126,causal,46564
126,score,44827
126,random,44475
127,causal,46486
127,treat_all,33209
127,treat_none,45616
127,score,44775
127,random,44306
128,random,44429
128,treat_all,33277
128,treat_none,45681
128,causal,46570
128,score,44863
129,random,44553
129,causal,46665
129,treat_all,33298
129,score,44913
129,treat_none,45800
130,treat_none,45821
130,causal,46632
130,score,44959
130,random,44557
130,treat_all,33252
131,treat_none,45537
131,causal,46435
131,treat_all,33055
131,score,44708
131,random,44295
132,treat_all,33150
132,causal,46395
132,random,44310
132,treat_none,45533
132,score,44625
133,causal,46492
133,random,44427
133,treat_none,45633
133,treat_all,33143
133,score,44820
134,treat_all,33220
134,random,44358
134,causal,46508
134,score,44807
134,treat_none,45645
135,score,44797
135,treat_none,45651
135,treat_all,33120
135,random,44440
135,causal,46519
136,treat_all,33212
136,treat_none,45788
136,random,44528
136,score,44930
136,causal,46641
137,score,44814
137,treat_all,33213
137,treat_none,45638
137,random,44499
137,causal,46506
138,treat_all,33254
138,causal,46421
138,score,44749
138,treat_none,45554
138,random,44331
139,causal,46748
139,score,45049
139,treat_all,33389
139,treat_none,45905
139,random,44719
140,treat_all,33401
140,causal,46628
140,treat_none,45725
140,random,44540
140,score,44908
141,treat_all,33270
141,random,44563
141,score,44903
141,treat_none,45821
141,causal,46650
142,random,44290
142,score,44672
142,treat_all,33045
142,causal,46418
142,treat_none,45535
143,treat_all,33160
143,causal,46365
143,score,44678
143,treat_none,45495
143,random,44252
144,score,44973
144,causal,46706
144,treat_none,45829
144,treat_all,33192
144,random,44573
145,score,44862
145,random,44487
145,causal,46638
145,treat_none,45759
145,treat_all,33212
146,random,44408
146,causal,46577
146,score,44805
146,treat_none,45664
146,treat_all,33186
147,causal,46401
147,treat_none,45550
147,score,44690
147,treat_all,33190
147,random,44287
148,treat_all,33332
148,treat_none,45763
148,causal,46607
148,score,44892
148,random,44531
149,causal,46310
149,random,44175
149,treat_none,45392
149,score,44568
149,treat_all,33148
150,treat_all,33221
150,random,44493
150,score,44854
150,causal,46572
150,treat_none,45721
151,treat_all,33072
151,score,44809
151,causal,46496
151,random,44397
151,treat_none,45662
152,score,44903
152,causal,46615
152,random,44499
152,treat_none,45771
152,treat_all,33166
153,random,44695
153,causal,46752
153,score,45016
153,treat_all,33590
153,treat_none,45913
154,random,44308
154,treat_none,45517
154,causal,46419
154,treat_all,33063
154,score,44667
155,causal,46462
155,treat_none,45579
155,random,44355
155,treat_all,33014
155,score,44736
156,score,44567
156,causal,46325
156,random,44195
156,treat_all,33112
156,treat_none,45477
157,treat_none,45286
157,score,44451
157,treat_all,32827
157,causal,46154
157,random,44026
158,score,44760
158,random,44397
158,treat_all,33081
158,causal,46538
158,treat_none,45663
159,random,44674
159,treat_none,45986
159,score,45140
159,treat_all,33264
159,causal,46829
160,treat_none,45725
160,random,44439
160,score,44852
160,treat_all,33124
160,causal,46575
161,score,44751
161,causal,46462
161,treat_none,45594
161,treat_all,33187
161,random,44342
162,causal,46519
162,treat_all,33088
162,treat_none,45662
162,score,44801
162,random,44416
163,random,44197
163,causal,46272
163,treat_all,32941
163,treat_none,45428
163,score,44564
164,causal,46586
164,treat_none,45751
164,score,44870
164,treat_all,33101
164,random,44496
165,treat_none,45537
165,causal,46357
165,random,44286
165,score,44667
165,treat_all,33039
166,score,44785
166,treat_all,33187
166,causal,46432
166,random,44354
166,treat_none,45559
167,treat_all,33059
167,score,44831
167,causal,46547
167,treat_none,45714
167,random,44469
168,score,44818
168,random,44425
168,treat_all,33170
168,causal,46574
168,treat_none,45688
169,treat_none,45743
169,random,44536
169,score,44895
169,causal,46610
169,treat_all,33237
170,score,44735
170,random,44396
170,causal,46461
170,treat_all,33084
170,treat_none,45605
171,score,44730
171,treat_all,33043
171,treat_none,45546
171,random,44283
171,causal,46388
172,treat_all,33404
172,random,44683
172,causal,46858
172,score,45118
172,treat_none,45980
173,score,45044
173,treat_all,33364
173,treat_none,45878
173,random,44624
173,causal,46706
174,treat_none,45618
174,score,44753
174,causal,46482
174,random,44379
174,treat_all,33288
175,causal,46508
175,random,44376
175,treat_all,33109
175,treat_none,45608
175,score,44776
176,score,44745
176,causal,46535
176,treat_all,33108
176,random,44384
176,treat_none,45670
177,causal,46705
177,treat_none,45848
177,random,44580
177,treat_all,33377
177,score,45012
178,random,44418
178,treat_all,33164
178,causal,46500
178,score,44782
178,treat_none,45623
179,treat_none,45430
179,random,44150
179,causal,46283
179,treat_all,32877
179,score,44605
180,treat_none,45547
180,treat_all,33224
180,random,44273
180,causal,46389
180,score,44670
181,causal,46755
181,score,45002
181,treat_all,33139
181,random,44612
181,treat_none,45866
182,score,44873
182,treat_none,45699
182,treat_all,33239
182,causal,46611
182,random,44515
183,score,44796
183,random,44396
183,treat_none,45658
183,treat_all,33229
183,causal,46580
184,score,44869
184,random,44513
184,treat_none,45746
184,causal,46579
184,treat_all,33022
185,causal,46754
