run_id,treat_none,treat_all,random,score,causal
187,45536,59777,46897,49945,49945
188,45580,59663,47012,50009,50009
189,45694,59817,47161,50031,50031
190,45796,60041,47194,50206,50206
191,45605,59818,47071,50035,50035
192,45648,59828,47059,50095,50095
193,46165,60160,47524,50520,50520
194,45665,59785,47087,50111,50111
195,45842,60024,47208,50222,50222
196,45773,60012,47164,50259,50259
197,45371,59506,46835,49750,49750
198,45715,59795,47137,50077,50077
199,45534,59866,46942,49930,49930
200,45553,59832,47019,49996,49996
201,45614,60018,47089,50094,50094
202,45899,59900,47284,50257,50257
203,45755,60022,47255,50132,50132
204,45468,59656,46848,49826,49826
205,45691,59961,47054,50121,50121
206,45873,60032,47205,50244,50244
207,45925,60021,47348,50262,50262
208,45840,59933,47237,50201,50201
209,45661,59866,47072,50011,50011
210,45513,59777,46948,49985,49985
211,45795,59714,47123,50137,50137
212,45612,59775,47028,49982,49982
213,45403,59658,46816,49800,49800
214,45734,59859,47119,50091,50091
215,45560,60025,46966,50025,50025
216,45682,59864,47120,50034,50034
217,45811,59928,47245,50229,50229
218,45826,60031,47250,50247,50247
219,45664,59831,47031,50049,50049
220,45634,59774,47011,50033,50033
221,45585,59636,47067,49971,49971
222,45473,59603,46873,49845,49845
223,45781,60031,47128,50170,50170
224,45794,59789,47212,50180,50180
225,45794,59718,47156,50200,50200
226,45469,59617,46833,49904,49904
227,45775,59931,47209,50090,50090
228,45634,59804,47152,50003,50003
229,45759,59868,47186,50148,50148
230,45994,60276,47428,50413,50413
231,45924,60180,47375,50320,50320
232,45751,59671,47156,50081,50081
233,45659,59723,47050,50003,50003
234,45600,59661,46935,50006,50006
235,45722,59981,47175,50167,50167
236,45437,59867,46864,49906,49906
237,45852,59904,47296,50305,50305
238,45448,59847,46922,49942,49942
239,45999,60210,47395,50430,50430
240,45624,59613,47051,49929,49929
241,45909,60057,47331,50335,50335
242,45672,59962,47134,49988,49988
243,45555,59738,46941,49978,49978
244,45841,59776,47201,50201,50201
