run_id,treat_none,treat_all,random,score,causal
0,45849,54656,46733,44705,49644
1,45574,54503,46430,44429,49360
2,45791,54727,46631,44748,49586
3,45726,54661,46680,44637,49433
4,45464,54374,46350,44331,49171
5,45609,54377,46437,44408,49329
6,45683,54587,46580,44555,49397
7,45767,54633,46635,44666,49505
8,45705,54697,46538,44565,49466
9,45649,54612,46538,44520,49399
10,45834,54779,46745,44723,49509
11,45733,54502,46543,44559,49535
12,45639,54498,46459,44538,49325
13,45714,54644,46601,44588,49426
14,45593,54576,46470,44503,49370
15,45743,54700,46643,44655,49518
16,45596,54495,46468,44499,49353
17,45770,54870,46620,44716,49577
18,45639,54495,46527,44509,49414
19,45770,54859,46652,44635,49568
20,45699,54700,46654,44562,49451
21,45491,54544,46395,44391,49257
22,45916,54738,46830,44818,49614
23,45812,54692,46718,44691,49472
24,45816,54924,46717,44753,49542
25,45886,54775,46792,44703,49580
26,45778,54517,46660,44636,49516
27,45510,54376,46314,44380,49214
28,45677,54673,46567,44563,49495
29,45689,54654,46643,44526,49446
30,45501,54263,46409,44407,49188
31,45862,54960,46750,44665,49657
32,45805,54574,46667,44622,49581
33,45959,54834,46788,44864,49739
34,45722,54485,46569,44542,49450
35,45966,54858,46887,44815,49736
36,45688,54605,46554,44544,49462
37,45974,54755,46771,44811,49744
38,45752,54728,46628,44668,49553
39,45655,54764,46513,44631,49369
40,45729,54657,46587,44632,49464
41,46102,54817,46985,44950,49762
42,45706,54640,46665,44616,49462
43,45674,54484,46545,44618,49399
44,45807,54646,46722,44672,49602
45,45870,54783,46681,44743,49537
46,45693,54724,46551,44522,49477
47,45683,54589,46595,44574,49457
48,45734,54557,46639,44586,49480
49,45725,54593,46596,44563,49415
50,45660,54659,46552,44538,49390
51,45568,54561,46464,44474,49328
52,45395,54306,46266,44294,49163
53,45688,54497,46564,44530,49455
54,45898,54572,46774,44762,49583
55,45816,54784,46639,44649,49514
56,45653,54629,46574,44518,49436
57,45716,54648,46614,44602,49523
58,45748,54623,46650,44603,49510
59,45572,54302,46455,44432,49284
60,45542,54436,46427,44412,49235
61,45474,54643,46364,44360,49210
62,45543,54601,46451,44449,49324
63,45595,54581,46431,44495,49349
64,45824,54828,46696,44670,49607
65,45614,54424,46528,44496,49293
66,45809,54642,46628,44655,49526
67,45543,54731,46486,44449,49329
68,45752,54708,46631,44605,49507
69,45684,54502,46598,44563,49393
70,45462,54346,46308,44355,49238
71,45806,54320,46701,44640,49462
72,45845,54722,46797,44710,49608
73,45712,54742,46641,44563,49483
74,45646,54884,46535,44540,49430
75,45755,54529,46586,44608,49430
76,45672,54502,46562,44543,49384
77,45844,54557,46692,44730,49524
78,45611,54421,46498,44511,49308
79,45706,54593,46586,44580,49479
80,45638,54551,46572,44545,49396
81,45742,54564,46656,44582,49462
82,45852,54633,46788,44744,49527
83,45750,54581,46591,44584,49468
84,45744,54539,46564,44570,49436
85,45606,54553,46506,44507,49329
86,45962,54681,46857,44826,49656
87,45716,54646,46631,44580,49522
88,45609,54739,46602,44489,49414
89,45715,54676,46571,44582,49478
90,45791,54735,46657,44671,49575
91,45614,54451,46535,44497,49317
92,45992,54799,46848,44841,49744
93,45739,54639,46606,44612,49471
94,45829,54709,46793,44695,49561
95,45664,54457,46536,44486,49458
96,45676,54514,46517,44550,49430
97,45494,54484,46363,44416,49287
98,45696,54618,46593,44574,49518
99,45638,54301,46479,44499,49335
100,45813,54717,46699,44731,49476
101,45630,54613,46578,44560,49347
102,45605,54600,46511,44451,49393
103,45524,54228,46417,44348,49248
104,45888,54873,46814,44763,49565
105,45437,54343,46237,44340,49109
106,45795,54673,46707,44687,49625
107,45907,54739,46800,44788,49607
108,45561,54376,46393,44415,49229
109,45552,54369,46424,44387,49271
110,45462,54386,46321,44359,49297
111,45666,54314,46547,44489,49400
112,45482,54364,46342,44314,49208
113,45814,54717,46639,44666,49512
114,45618,54662,46563,44554,49389
115,45767,54771,46685,44637,49500
116,45724,54572,46607,44619,49482
117,45745,54689,46614,44578,49496
118,45745,54816,46671,44642,49403
119,45656,54457,46526,44478,49304
120,45657,54635,46579,44556,49364
121,45933,54974,46839,44853,49663
122,46045,54683,46888,44874,49822
123,45786,54642,46675,44710,49475
124,45451,54479,46365,44368,49218
125,45754,54522,46613,44564,49488
126,45696,54520,46565,44580,49468
127,45616,54506,46523,44544,49343
128,45681,54749,46596,44612,49440
129,45800,54780,46682,44671,49561
130,45821,54764,46715,44642,49542
131,45537,54401,46432,44390,49276
132,45533,54405,46416,44427,49277
133,45633,54567,46526,44481,49370
134,45645,54497,46498,44550,49416
135,45651,54573,46536,44521,49435
136,45788,54802,46675,44651,49579
137,45638,54477,46464,44495,49454
138,45554,54349,46422,44383,49324
139,45905,54785,46819,44793,49653
140,45725,54577,46598,44588,49458
141,45821,54619,46694,44656,49577
142,45535,54599,46376,44430,49268
143,45495,54391,46416,44392,49234
144,45829,54700,46767,44751,49551
145,45759,54483,46674,44579,49519
146,45664,54690,46619,44521,49460
147,45550,54505,46475,44478,49331
148,45763,54597,46666,44612,49474
149,45392,54356,46272,44282,49135
150,45721,54676,46638,44565,49498
151,45662,54542,46597,44564,49357
152,45771,54700,46700,44632,49513
153,45913,54928,46754,44767,49744
154,45517,54318,46434,44429,49287
155,45579,54530,46569,44492,49324
156,45477,54341,46337,44290,49177
157,45286,54377,46171,44124,49144
158,45663,54448,46556,44524,49348
159,45986,55018,46857,44878,49711
160,45725,54638,46620,44595,49492
161,45594,54502,46523,44521,49313
162,45662,54436,46596,44484,49344
163,45428,54351,46306,44287,49208
164,45751,54744,46691,44586,49454
165,45537,54510,46434,44412,49273
166,45559,54619,46383,44452,49306
167,45714,54630,46625,44547,49473
168,45688,54438,46593,44542,49326
169,45743,54677,46679,44661,49473
170,45605,54490,46509,44522,49361
171,45546,54396,46439,44419,49312
172,45980,54889,46811,44847,49754
173,45878,54654,46772,44732,49604
174,45618,54512,46524,44492,49367
175,45608,54659,46509,44543,49378
176,45670,54412,46522,44501,49370
177,45848,54704,46721,44716,49563
178,45623,54608,46510,44518,49383
179,45430,54396,46294,44289,49106
180,45547,54536,46415,44436,49268
181,45866,54756,46698,44748,49613
182,45699,54410,46528,44569,49441
183,45658,54501,46569,44546,49353
184,45746,54863,46641,44672,49533
185,45885,54813,46836,44786,49680
186,45880,54716,46701,44673,49638
187,45536,54464,46366,44423,49262
188,45580,54410,46483,44471,49381
189,45694,54523,46605,44606,49430
190,45796,54745,46683,44640,49509
191,45605,54749,46525,44544,49377
