policy,mean,ci_lower,ci_upper
causal,47706.844,47698.2397654133,47715.44823458669
random,46124.894,46116.11950568793,46133.66849431207
score,44586.981,44578.2760643482,44595.685935651796
treat_all,49988.28,49980.41852444626,49996.14147555374
treat_none,45696.78,45687.88324941094,45705.67675058906
