run_id,policy,outcome
75,treat_none,45755
76,treat_none,45672
76,treat_all,50039
76,score,44522
76,causal,47798
76,random,46168
77,treat_none,45844
77,random,46245
77,treat_all,49912
77,score,44720
77,causal,47863
78,random,46092
78,treat_all,49841
78,score,44523
78,treat_none,45611
78,causal,47571
79,treat_none,45706
79,random,46108
79,treat_all,49995
79,score,44608
79,causal,47692
80,score,44497
80,causal,47657
80,random,46069
80,treat_none,45638
80,treat_all,49839
81,random,46174
81,score,44643
81,treat_all,50078
81,causal,47754
81,treat_none,45742
82,treat_none,45852
82,score,44762
82,random,46270
82,causal,47849
82,treat_all,50018
83,treat_none,45750
83,score,44656
83,random,46207
83,treat_all,50073
83,causal,47736
84,score,44670
84,causal,47687
84,random,46156
84,treat_all,49956
84,treat_none,45744
85,score,44536
85,treat_none,45606
85,treat_all,49766
85,random,46022
85,causal,47517
86,treat_none,45962
86,treat_all,50211
86,random,46390
86,score,44843
86,causal,48049
87,causal,47682
87,treat_all,49970
87,treat_none,45716
87,score,44631
87,random,46160
88,causal,47565
88,score,44485
88,treat_all,49987
88,treat_none,45609
88,random,46045
89,score,44590
89,treat_none,45715
89,treat_all,49965
89,causal,47756
89,random,46148
90,random,46238
90,score,44683
90,causal,47824
90,treat_none,45791
90,treat_all,50223
91,score,44484
91,random,46075
91,causal,47639
91,treat_none,45614
91,treat_all,49911
92,causal,47944
92,treat_none,45992
92,treat_all,50102
92,score,44847
92,random,46379
93,treat_none,45739
93,treat_all,50005
93,score,44611
93,causal,47768
93,random,46147
94,treat_none,45829
94,score,44713
94,random,46283
94,causal,47761
94,treat_all,50029
95,random,46067
95,causal,47615
95,treat_none,45664
95,treat_all,49981
95,score,44543
96,treat_all,49845
96,random,46101
96,causal,47674
96,treat_none,45676
96,score,44589
97,treat_none,45494
97,treat_all,49943
97,score,44381
97,causal,47556
97,random,45915
98,score,44611
98,treat_none,45696
98,causal,47683
98,treat_all,50111
98,random,46157
99,treat_none,45638
99,causal,47619
99,random,46060
99,treat_all,49934
99,score,44526
100,score,44699
100,causal,47842
100,treat_none,45813
100,treat_all,50084
100,random,46199
101,causal,47646
101,treat_none,45630
101,random,46076
101,treat_all,49806
101,score,44513
102,random,46056
102,treat_all,49992
102,causal,47602
102,score,44572
102,treat_none,45605
103,causal,47511
103,random,46018
103,score,44466
103,treat_none,45524
103,treat_all,49909
104,treat_all,50183
104,random,46313
104,causal,47932
104,score,44762
104,treat_none,45888
105,causal,47526
105,random,45872
105,treat_all,49857
105,treat_none,45437
105,score,44359
106,treat_all,50053
106,treat_none,45795
106,causal,47791
106,score,44653
106,random,46214
107,treat_none,45907
107,random,46309
107,causal,47921
107,score,44784
107,treat_all,50184
108,treat_all,49988
108,causal,47619
108,score,44495
108,treat_none,45561
108,random,46067
109,causal,47520
109,treat_none,45552
109,treat_all,50049
109,score,44468
109,random,46047
110,causal,47504
110,random,45865
110,treat_all,49916
110,score,44395
110,treat_none,45462
111,treat_all,49855
111,score,44593
111,random,46081
111,treat_none,45666
111,causal,47647
112,treat_all,49793
112,causal,47519
112,treat_none,45482
112,random,45914
112,score,44420
113,score,44668
113,random,46183
113,treat_none,45814
113,causal,47760
113,treat_all,49952
114,random,46029
114,treat_none,45618
114,score,44502
114,causal,47628
114,treat_all,50073
115,treat_all,49876
115,score,44644
115,treat_none,45767
115,causal,47740
115,random,46159
116,score,44637
116,treat_none,45724
116,random,46157
116,causal,47693
116,treat_all,49902
117,score,44645
117,treat_all,50013
117,treat_none,45745
117,causal,47756
117,random,46135
118,score,44689
118,causal,47800
118,treat_none,45745
118,random,46218
118,treat_all,50004
119,treat_none,45656
119,causal,47650
119,random,46054
119,treat_all,50055
119,score,44510
120,random,46048
120,treat_none,45657
120,causal,47653
120,treat_all,49966
120,score,44607
121,treat_none,45933
121,causal,47917
121,treat_all,50098
121,random,46329
121,score,44813
122,random,46426
122,causal,48080
122,treat_none,46045
122,treat_all,50229
122,score,44917
123,causal,47747
123,treat_all,49855
123,score,44640
123,treat_none,45786
123,random,46182
124,random,45868
124,treat_all,49791
124,score,44316
124,treat_none,45451
124,causal,47536
125,random,46214
125,score,44627
125,treat_none,45754
125,treat_all,50065
125,causal,47769
126,treat_none,45696
126,treat_all,49864
126,causal,47662
126,score,44582
126,random,46108
127,causal,47662
127,treat_all,49948
127,treat_none,45616
127,score,44541
127,random,46059
128,random,46037
128,treat_all,49856
128,treat_none,45681
128,causal,47664
128,score,44603
129,random,46212
129,causal,47821
129,treat_all,50043
129,score,44660
129,treat_none,45800
130,treat_none,45821
130,causal,47851
130,score,44715
130,random,46229
130,treat_all,50141
131,treat_none,45537
131,causal,47530
131,treat_all,49891
131,score,44433
131,random,45972
132,treat_all,49925
132,causal,47534
132,random,46027
132,treat_none,45533
132,score,44400
133,causal,47628
133,random,46064
133,treat_none,45633
133,treat_all,50029
133,score,44604
134,treat_all,49926
134,random,46052
134,causal,47664
134,score,44516
134,treat_none,45645
135,score,44547
135,treat_none,45651
135,treat_all,49983
135,random,46086
135,causal,47636
136,treat_all,50094
136,treat_none,45788
136,random,46208
136,score,44666
136,causal,47794
137,score,44553
137,treat_all,50049
137,treat_none,45638
137,random,46117
137,causal,47620
138,treat_all,49880
138,causal,47593
138,score,44472
138,treat_none,45554
138,random,46002
139,causal,47891
139,score,44786
139,treat_all,50075
139,treat_none,45905
139,random,46390
140,treat_all,50086
140,causal,47752
140,treat_none,45725
140,random,46167
140,score,44641
141,treat_all,49977
141,random,46243
141,score,44680
141,treat_none,45821
141,causal,47799
142,random,45933
142,score,44403
142,treat_all,49816
142,causal,47490
142,treat_none,45535
143,treat_all,49844
143,causal,47523
143,score,44413
143,treat_none,45495
143,random,45956
144,score,44718
144,causal,47835
144,treat_none,45829
144,treat_all,49998
144,random,46273
145,score,44599
145,random,46242
145,causal,47825
145,treat_none,45759
145,treat_all,50057
146,random,46124
146,causal,47792
146,score,44541
146,treat_none,45664
146,treat_all,50097
147,causal,47572
147,treat_none,45550
147,score,44441
147,treat_all,50025
147,random,45996
148,treat_all,49970
148,treat_none,45763
148,causal,47720
148,score,44623
148,random,46192
149,causal,47456
149,random,45860
149,treat_none,45392
